genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACHE,13.9764518942349,-0.878861118530112,0.498587338114188,-1.76270244217239,0.0779506886603082,0.153042888674147
ACIN1,5747.61655241503,0.160619245817446,0.0325811995933798,4.92981375216407,8.23080479431569E-07,4.35700453583464E-06
ACKR1,0.186999681961369,1.08086504292213,4.35700600431928,0.248075178654936,0.80407624000675,
ACKR2,1.43382570551265,-2.75095881813015,1.86621888993745,-1.47408154154005,0.140459637741924,
ACKR3,0.463431468760088,-0.647599501493944,2.79759781840291,-0.231484131576727,0.816938711864961,
ACKR4,0.304127906746982,1.82708327832487,3.65193856537649,0.500305042271847,0.61686030422022,
ACLY,13461.5765270143,0.139124049087371,0.0285300759414106,4.87639953616233,1.08039672684137E-06,5.62482454724649E-06
ACN9,334.169486859656,0.317777542739921,0.111152209082737,2.85894041479086,0.004250586172303,0.0122818524451997
ACO1,4838.78777611953,0.0396313831507319,0.0340392768000558,1.16428393539392,0.244308964614082,0.383752509256932
ACO2,2151.50258561541,-0.115106956761212,0.0465299407927009,-2.4738255583439,0.0133674949131957,0.0338080663657717
ACOT11,2.9762111439976,0.78733295045288,1.10586388580911,0.711961897441679,0.476488370945964,0.624752526366147
ACOT13,564.989016787226,-0.130227147123583,0.0786082263670961,-1.65666054485735,0.0975881241362912,0.184585757884742
ACOT1,44.9168925342328,-0.0290129254433081,0.271722319406805,-0.106774171170944,0.914968138730604,0.950746989466999
ACOT2,433.186088597546,0.185495251084788,0.0881018348177853,2.10546410830642,0.0352509284251551,0.0782999735174311
ACOT4,146.112794879412,-0.342520667516141,0.149116723413289,-2.29699700795341,0.0216189404193227,0.0515741389312643
ACOT6,0.510521726049588,-0.790673134130999,2.71673911859436,-0.291037563643612,0.771022590728874,
ACOT7,1784.59151455742,-0.252857217128608,0.0511145716541021,-4.94687148783561,7.54157295228379E-07,4.00999169383804E-06
ACOT8,576.252640840626,-0.0389228152837972,0.0794840670168303,-0.489693302628256,0.624350941788008,0.749521461888886
ACOT9,1556.20047470894,0.0606650276628962,0.0514107875058472,1.18000580434595,0.237997906377622,0.376653534354193
ACOX1,1193.45969767751,-0.355862566820711,0.0600463054097056,-5.92646898743568,3.09517806315782E-09,2.07143988629935E-08
ACOX2,129.102789535042,0.94755375277657,0.162270952658449,5.83933068274395,5.24109503599788E-09,3.44793637295898E-08
ACOX3,355.889892020394,0.0192448910061188,0.102312482613936,0.188099149922273,0.850798927467343,0.911143525473196
ACOXL,88.9692864309429,-1.59843406303579,0.209247829960628,-7.6389516839269,2.18997462456845E-14,2.129822587426E-13
ACP1,2033.43303927173,0.0842447925528698,0.0463301395715402,1.81835827243266,0.0690093916869757,0.13792260307729
ACP2,950.548596690591,-0.277416516452894,0.0655891896315884,-4.22960731808291,2.34099582230346E-05,0.000102005712076884
ACP5,3.37758117541929,-3.14424552900692,1.30789566509491,-2.40404920126313,0.0162145908081424,0.0400332477380544
ACP6,522.10856367637,0.346262385302919,0.0873886967720329,3.96232462656124,7.42235248740879E-05,0.000296759845058595
ACPP,0.370269728960865,2.04759664318432,3.25291835163064,0.629464505974423,0.52904499882896,
ACRBP,5.2774846229882,0.165182381644066,0.825744424659189,0.200040565471867,0.841448855587696,0.904320434225916
ACRC,31.4676256218045,-0.00672956604912155,0.317740837618418,-0.0211794181055292,0.983102532572747,0.991238465169954
ACRV1,0.348760704005478,0.11908253736778,3.15726236553469,0.0377170230348001,0.969913303234712,
ACSBG1,0.670668000745974,2.93866565430081,2.75848687055002,1.06531797764724,0.286732060071922,
ACSF2,512.622381632983,0.0456428752632375,0.0803113439710041,0.568324137119616,0.56981489231842,0.707452520785782
ACSF3,354.147693472704,0.0557938156467315,0.10408007245366,0.536066264477024,0.591912754444092,0.724639353500314
ACSL1,1764.09452606059,-0.529195914648174,0.0490359296554269,-10.7920032997602,3.75513397986599E-27,6.35007519895808E-26
ACSL3,4598.13555302039,-0.41658063341697,0.0352677142554079,-11.8119544238139,3.38597754345245E-32,6.68255491452037E-31
ACSL4,8215.34788258196,0.241103842240707,0.0330060828763957,7.30483054119496,2.77616397400585E-13,2.51551678312811E-12
ACSL5,3444.30962954336,0.215839705880984,0.0406336765744159,5.31184288691421,1.08522147443294E-07,6.3460437921016E-07
ACSL6,1.25914289599054,2.6354775358201,1.93115672503154,1.36471447483221,0.172342808381029,
ACSM2B,0.161761022044109,-0.842709793220137,4.42654390980429,-0.190376467598939,0.849014136581349,
ACSM3,18.0679087082444,0.770568525455347,0.426366744535805,1.80729040275944,0.0707170116458817,0.140661308805338
ACSS1,163.306649916308,0.410384920167457,0.145415887586567,2.82214637601515,0.00477033987491851,0.0136208652675058
ACSS2,1858.82427614819,-0.850234143852265,0.0500270788245714,-16.9954785254154,8.87035319391013E-65,3.52830269844142E-63
ACSS3,808.378972084759,-1.00289354035574,0.0694675880529009,-14.4368556396692,3.03369568730272E-47,8.79033209169195E-46
ACTA1,37.8436999186928,0.203808335333131,0.2911745328663,0.699952476361368,0.483956983825979,0.631335166574435
ACTA2,53.5356976088853,0.401568429643576,0.256628181476049,1.56478695104284,0.117632872415531,0.214967926642908
ACTBL2,9.07517075128599,-2.9255032536011,0.792707494052552,-3.69052049532807,0.000223795655417243,0.000827824569990677
ACTB,99092.4092111842,0.127884110117472,0.030987407710549,4.12697026198603,3.67573905332516E-05,0.000155056462301255
ACTC1,27.6095505149082,-2.88621977363977,0.4343548863858,-6.6448424182713,3.03541649777104E-11,2.39383279663666E-10
ACTG1P4,1.00761674846668,0.10850482188503,1.82831102516765,0.0593470259662632,0.952675705789964,
ACTG1,59943.8700967043,0.226638515476739,0.0255895806962316,8.85667171209704,8.24388585712733E-19,1.01316636908127E-17
ACTG2,9.7105531816878,-0.789403226202248,0.583899963110945,-1.35194943667475,0.176391491100208,0.297634192125793
ACTL10,6.58798144603386,0.692461743365403,0.726383818011194,0.953300068359634,0.340438056878109,0.491013987143454
ACTL6A,3264.23572836228,0.187256053802041,0.0387454043483891,4.83298747170842,1.34499254489881E-06,6.93009312261716E-06
ACTN1-AS1,0.479144346215157,0.991144443054292,2.62816042293434,0.37712478827593,0.706080870546953,
ACTN1,21267.185666499,0.12431005118303,0.0284879298512085,4.36360422931037,1.27936942260603E-05,5.79498919086155E-05
ACTN2,0.807018467360725,0.64895962960551,1.99725547577149,0.324925698028106,0.7452373070518,
ACTN3,0.348760704005478,0.11908253736778,3.15726236553469,0.0377170230348001,0.969913303234712,
ACTN4,27847.8671384886,0.207225441768456,0.0270206481179284,7.66915141576344,1.73137954502811E-14,1.69447411133586E-13
ACTR10,2228.9865907641,0.0295931821562937,0.0435642946172695,0.679299008885191,0.496948424305908,0.643185526498144
ACTR1A,5693.1859305527,-0.0482160882058012,0.0327678009562909,-1.47144717676102,0.141170222986007,0.249210138079006
ACTR1B,2947.60431490863,-0.0902547919392141,0.0422128107962099,-2.13809007826879,0.0325094330443307,0.073272899853595
ACTR2,13064.5905194008,-0.25952865996123,0.0289357179411528,-8.96914534794122,2.98824014346281E-19,3.75300647238637E-18
ACTR3BP5,0.183270046999496,1.08086475163971,4.38674749061526,0.246393199962396,0.805377869658991,
ACTR3B,243.711395402971,0.0724408136773603,0.119392083857406,0.606747209169067,0.544018687049044,0.687431698220486
ACTR3C,25.7352499467687,-1.64212534216991,0.402217318000466,-4.08268184555895,4.45189517930476E-05,0.000185471658883636
ACTR3,7006.44742597332,0.0367937522120001,0.0303521895342464,1.21222728167553,0.225425390995395,0.361129231795428
ACTR5,478.629565047781,0.0896096780901934,0.0837254902621708,1.07027952669608,0.284493507007435,0.430720942654211
ACTR6,936.265740497657,-0.304385538441858,0.0650723289361906,-4.67764936983177,2.90182183838848E-06,1.4345012557631E-05
ACTR8,1412.31156386099,0.106102658075736,0.0517762639069026,2.04925288287536,0.0404373933699797,0.087778870316175
ACTRT3,58.2800054727012,0.472562606343507,0.244593773234356,1.93203040328718,0.0533557533942955,0.111413437553298
ACVR1B,425.378756287834,-0.00544813134847227,0.0923225124987678,-0.0590119484513053,0.952942591210529,0.972617461332488
ACVR1C,67.8175222982776,-3.06519808743288,0.294246411243754,-10.4171129036937,2.0714595349812E-25,3.35971628771112E-24
ACVR1,736.800620606043,-0.0740389416975691,0.0707977106581476,-1.04578157978966,0.295661887572809,0.443249334988284
ACVR2A,278.90707174213,-0.298410594327448,0.117381661883844,-2.54222499101046,0.0110149244026571,0.028557963351594
ACVR2B-AS1,24.3676613058546,-0.580942046792219,0.36397813430793,-1.59609051213152,0.11046858667854,0.204190710987583
ACVR2B,458.67456213098,-0.207627884432539,0.0959709685673593,-2.16344471179126,0.0305069917904533,0.0694168652902477
ACVRL1,0.323522044088218,-1.75468644752752,3.58243890506068,-0.489802197337906,0.6242738756748,
ACY1,3.42720760507377,-0.539632361094066,0.982312138639158,-0.54934917310667,0.582765847616668,0.71769739129696
ACY3,0.697350121802531,1.66809895053375,2.3395991650177,0.712984931553918,0.475855081515734,
ACYP1,317.544878392519,-0.0472060681024399,0.101611942100471,-0.464572048586215,0.642237952772749,0.764293788898074
ACYP2,377.290891949591,0.0515445250186056,0.098717800489339,0.522140128356812,0.601572768503284,0.732232178024805
ADAD1,0.161761022044109,-0.842709793220137,4.42654390980429,-0.190376467598939,0.849014136581349,
ADAL,351.062276898206,-0.151452049495796,0.101122048174793,-1.4977154065749,0.134207207275685,0.239155604995586
ADAM10,4118.85052377311,-0.00495540342336656,0.0382691709704995,-0.129488130986337,0.896971415986006,0.940810650728815
ADAM11,28.1393421651633,0.143961102292377,0.347416424089344,0.414376213415159,0.678598606365885,0.791792190355127
ADAM12,38.2270273461916,-1.0470614329203,0.298732256724272,-3.5050163126064,0.000456579306861327,0.00159725336085582
ADAM15,2632.96999024231,0.0979378068754962,0.0435007533941709,2.25140484322324,0.0243599076633807,0.0571092198902257
ADAM17,1908.35674165891,-0.169997159617229,0.0476037980935796,-3.57108395601225,0.000355506907883835,0.00126367066062177
ADAM18,0.755747419222302,-1.71855454725713,2.25470432004063,-0.762208388914675,0.445935640084069,
ADAM19,3185.11248111121,-0.761072394407471,0.0438256043392144,-17.3659303934909,1.49457446707459E-67,6.31845648334565E-66
ADAM1A,63.6968736658505,0.12607144012928,0.223476369233591,0.564137678456295,0.572660437336025,0.709656811380772
ADAM20P1,1.32706597587251,0.15487564960924,1.49596995311815,0.103528583101835,0.917543465338588,
ADAM20,0.323522044088218,-1.75468644752752,3.58243890506068,-0.489802197337906,0.6242738756748,
ADAM21P1,0.186999681961369,1.08086504292213,4.35700600431928,0.248075178654936,0.80407624000675,
ADAM21,4.30443115955633,1.00843452735755,0.896542253488451,1.12480423921318,0.260671997686078,0.403693474677072
ADAM22,205.241840591717,0.178041394305889,0.129897882799766,1.37062583676083,0.170491624561375,0.289669145364902
ADAM23,22.8273851113409,0.971421486748962,0.384213199435188,2.52833970352137,0.0114603405747565,0.0295493833883032
ADAM28,7.25603138207347,0.988022701999516,0.711312181490991,1.38901417367619,0.164828440104828,0.282029244027645
ADAM29,2.41665373134178,-1.91621313129413,1.26270388395221,-1.51754750709759,0.129128508580214,0.23210654687552
ADAM32,5.89712974622715,0.371955793971067,0.731541095848719,0.508455090331639,0.611134226485637,0.739160469507719
