"","knockout_1","knockout_2","knockout_3","wtGATA3_1","wtGATA3_2","wtGATA3_3"
"DCAF13P3",17.6260124351954,14.625987550072,14.3343374170424,19.3295411142027,21.4552426359889,24.7742017494637
"DCAF13",2531.78346667498,2100.8627787602,2058.97043427373,2209.10839967386,2452.04769446794,2831.36039581107
"DCAF15",1968.85867435054,1633.75026341193,1601.17239610347,1603.35363204509,1779.67707580732,2054.97927350352
"DCAF16",1773.57260141827,1471.70273950876,1442.35618781176,1623.98599585018,1802.57841469461,2081.4232713437
"DCAF17",709.03762503645,588.356300918541,576.624156826096,596.263986478996,661.836120652085,764.217019415751
"DCAF4L1",24.7660812596702,20.5507852385668,20.1409914227186,19.6045371221705,21.7604804085785,25.1266574307157
"DCAF4L2",0.40844875371703,0.338928978330855,0.332170550479101,0.163551490035696,0.181537517184775,0.209619958726935
"DCAF4",918.935392722647,762.528544825289,747.323311621318,570.065515724589,632.756560852569,730.639077954937
"DCAF5",2282.60603579376,1894.09644319639,1856.32713170627,2232.82771045208,2478.37545697913,2861.76085835211
"DCAF6",2470.00267835891,2049.59735250076,2008.72726844881,2002.54914063142,2222.77277297436,2566.61842772694
"DCAF7",7650.79501103949,6348.59603049954,6222.00157863718,7242.05869062559,8038.47983112627,9281.97012143175
"DCAF8L1",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DCAF8L2",2.62741391513635,2.18021650404244,2.13674180318818,1.84959215845051,2.05299485914956,2.37057719150976
"DCAF8",3740.74576719567,3104.05437532428,3042.15784571249,2739.37879839941,3040.6328036602,3510.99504218882
"DCAKD",396.522967418565,329.033013343456,322.471916406633,322.753490718051,358.24722449723,413.665282954779
"DCBLD1",351.519026221477,291.688940991705,285.872505133799,259.241704184499,287.750942031358,332.26377405424
"DCBLD2",15695.1838908489,13023.7945211743,12764.0929870626,13454.0612367831,14933.6265444262,17243.742386869
"DCC",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DCDC1",1.14062835500041,0.946488389295758,0.927614896910774,0.88961898415841,0.987451851336306,1.14020297033847
"DCDC2B",0.40844875371703,0.338928978330855,0.332170550479101,0.163551490035696,0.181537517184775,0.209619958726935
"DCDC2C",0.408451130430303,0.33893095051707,0.332172483338852,0.318550074518751,0.353581551684657,0.40827786685715
"DCDC2",7.5868855707859,6.29556425823012,6.17002728870079,109.587694553596,121.639234096377,140.455877254869
"DCDC5",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DCHS1",48.477146374841,40.226122723349,39.4239919951934,55.1566579207022,61.2223265770849,70.6929441873613
"DCHS2",0.209707256010201,0.174014158156412,0.17054422136058,0.85917729086378,0.953662434814321,1.10118659396302
"DCK",1677.23523278183,1391.76241497626,1364.00991675459,1496.2961307534,1660.84628449959,1917.76628328695
"DCLK1",144.268669778833,119.713507284115,117.326354949592,541.262294271982,600.785801623849,693.722691006823
"DCLK2",333.561222138992,276.787634192862,271.268338483293,251.40517635048,279.052618304521,322.219887320032
"DCLK3",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DCLRE1A",1138.23203721119,944.499935339993,925.666093806531,820.558694486474,910.796887689272,1051.69008019273
"DCLRE1B",1032.55824044302,856.812283831596,839.726981679829,741.396847158295,822.929481427297,950.2302697926
"DCLRE1C",850.84520411075,706.027605966816,691.949032161259,682.354775109218,757.394455320872,874.557485011618
"DCN",1.21250536284066,1.00613161408487,0.986068803413884,0.16355058212958,0.181536509434726,0.209618795085793
"DCP1A",1122.39508452359,931.358501695174,912.786707483822,1049.32293168898,1164.71870541987,1344.8916276083
"DCP1B",146.60582514451,121.652868521188,119.227044270608,109.920666498438,122.008823515254,140.882639281432
"DCP2",2454.9932785251,2037.14261857211,1996.52088867709,2410.55272842441,2675.64518834798,3089.54668240039
"DCPS",1057.24683460458,877.298770617156,859.804956795606,1020.63410232426,1132.87491816564,1308.12185421129
"DCST1",2.58912730701477,2.14844644511507,2.1056052564856,2.1526515193118,2.3893821578428,2.75900098820944
"DCST2",10.3568997906531,8.59410986758204,8.42273865059097,8.19955516152493,9.10127376838917,10.5091700122264
"DCTD",4261.46659527513,3536.14622687352,3465.63355113457,3384.24591735365,3756.41702344016,4337.50551195001
"DCTN1",8017.88521004227,6653.20586213946,6520.53732484419,6451.01233788026,7160.44080608214,8268.10529037838
"DCTN2",3009.048476451,2496.89518352185,2447.10573785589,2377.74406095677,2639.22849759869,3047.49661291492
"DCTN3",1229.9674659047,1020.62159036009,1000.26984169474,1130.24357975371,1254.53833063666,1448.60565004724
"DCTN4",2631.69381702796,2183.76794779708,2140.22242922607,2167.4676278388,2405.82761826475,2777.99043341258
"DCTN5",3630.77313668897,3012.79957049799,2952.72271124186,3483.53150719887,3866.62121337933,4464.75743268147
"DCTN6",857.255097974484,711.346507686246,697.161872092468,793.725762168984,881.01309354199,1017.29896480951
"DCTPP1",946.137619609486,785.100832984278,769.445496098636,770.874410200441,855.648740702531,988.010943921075
"DCT",0.209706910224256,0.174013871224756,0.170543940150498,0.318549500528944,0.353580914572244,0.408277131188404
"DCUN1D1",1143.49189628984,948.86454325584,929.943669070742,1006.69880249348,1117.4071304252,1290.26132004716
"DCUN1D2",345.613841276488,286.788844511923,281.070119238366,311.676157402414,345.95169856402,399.467734819195
"DCUN1D3",313.279806688171,259.958204906337,254.774497154397,283.267181233453,314.418540423125,363.056642442645
"DCUN1D4",1684.94221945767,1398.15763860293,1370.27761614981,1518.39223840256,1685.37233755604,1946.08632593794
"DCUN1D5",2371.05337129836,1967.48965295858,1928.25684101645,1891.94346194531,2100.00360535118,2424.85782501958
"DCXR",669.210508141624,555.307934590611,544.234792866585,613.496800626343,680.964055797972,786.303897312904
"DDA1",3842.87764913562,3188.8029614955,3125.21649906063,3471.76339557443,3853.55894310721,4449.67453082303
"DDAH1",4993.96781998035,4143.97251953847,4061.33945750029,6257.42624357312,6945.56572964996,8019.9907113555
"DDAH2",1671.48996828995,1386.99501978469,1359.33758601163,1239.7207114517,1376.05484309782,1588.9198215847
"DDB1",12540.9441941211,10406.420302025,10198.9106309647,10037.9807721207,11141.8740759964,12865.4353115002
"DDB2",603.207349716617,500.538804196605,490.557788669914,449.845157872754,499.315371935709,576.555575288353
