Node,Steady State (No perturb)
ENTPD3,1.6907254161834917
EP300,1.8333851410872977
EPB41L1,2.192212578204653
EPCAM,1.1984324600950924
EPHA10,1.0419908812393448
EPHA5,1.5620968704784313
EPHB2,1.9957087687038157
EPHX1,1.8777098179464522
EPN3,0.5546905404595291
EPO,-0.34703016142319776
EPOR,1.671233659676762
ERBB2,1.5392245026400986
ERBB3,2.6935380184589226
ERBB4,2.4602305182269353
EREG,1.8009348163492567
ERG,0.09566212650394798
ERO1A,0.1160359114953013
ERP44,1.516167989223189
ERVW-1,0.2504162605209163
ESR1,-0.08816773527079982
ETS1,2.0434389793577967
ETV1,1.8190446281930612
ETV4,1.8689138001083885
EYA3,1.6021698571610568
EZR,2.1006982300029735
F11R,2.4255683896073776
F2R,1.8962569282354609
F2RL1,2.1182836675006596
F2RL2,1.6504748795663944
F2RL3,1.638350867548275
FABP4,-0.035836857666250374
FABP5,0.721123186760239
FAP,-0.0006845513868100478
FAS,0.9583655111398763
FASLG,0.5301720725663635
FAXDC2,0.9986133660316012
FBLIM1,1.496547684875675
FBLN1,0.9666927015302664
FBN1,1.9639053032219131
FBXO2,2.1756408572810524
FBXO27,2.7036788759386114
FBXO44,2.2798109217018574
FBXO6,1.9294808410429067
FCER1A,0.12114165961628927
FCER2,-0.07958956710600161
FGD4,1.217864057200177
FGF19,0.264060417781362
FGF2,-0.16497535700396132
FGF20,1.3802902153302654
FGF5,1.8943830206449375
FGFR2,1.9360720916660294
FKBP5,1.5853870595271302
FLG,2.159154241653709
FLI1,0.9959559842988176
FLNB,3.3726718426299036
FLNC,2.542321478300719
FLT1,1.729536001101796
FMNL1,1.7307936204375516
FN1,3.5126066514132415
FOLR1,1.316741112619789
FOS,0.6265162165292264
FOSL1,1.9798676765477603
FOXA2,1.54646661084499
FOXC1,1.2611769046991799
FOXC2,-0.32844301766081163
FOXF1,0.2600978090855836
FOXF2,1.1355696859779134
FOXM1,2.0396935489110533
FOXO1,1.3139880593803355
FOXO3,1.3367967691264657
FOXO4,0.7809960816547874
FOXP2,0.9644132680013895
FOXP3,0.2582157728098083
FOXQ1,1.5036894574714732
FSHB,-0.1469083311198729
FST,2.006255606397046
FTH1,1.681674303065535
FTH1P18,-0.1436144058017681
FURIN,1.8635985307491876
FUT3,0.34165113603687275
FZD1,1.2452196044043993
FZD3,1.3040165629814395
FZD5,1.5352638086447776
FZD8,1.4441403501140702
GABARAPL1,1.9493029814795777
GABRE,1.7413490081304157
GAD1,1.2143997766990144
GADD45B,1.703596068287091
GAS8,1.795403623410998
GATA1,0.0513140362861326
GATA2,1.7132017799774137
GATA3,2.465844584768228
GATA4,-0.1186378132676913
GATA6,0.9838921782087335
GCKR,1.6733034452166697
GDF15,1.6685998877392083
GFI1,1.4102687096109054
GFI1B,0.6516375157773541
GFRA1,0.7132291961185346
GIPR,0.9121497306554895
GJA1,0.11397409850978973
GK,0.8783184350125205
GLCE,1.6617428818103004
GLI2,2.014708965947004
GLS2,0.890436162679423
GNA15,3.3945840094471698
