Node,Steady State (Perturbed (GATA3)
CCL26,0.469440124338104
CCNA1,0.4353244797527127
CCNA2,0.4921981661042165
CCND1,1.0218173749146524
CCND2,1.193438229050126
CCND3,1.5444301975413754
CCNE1,0.43232475428381034
CCR1,0.6675791186055547
CCR5,0.37599863971378056
CCR6,0.3338890494179951
CD14,0.47715810008986653
CD177,0.4736858497539982
CD180,0.35692644678284735
CD1D,-0.37482077918349066
CD24,0.4684615580023246
CD274,1.0736509081647967
CD33,-0.22055006372231217
CD36,0.012951753389584014
CD38,0.25486281094162644
CD3G,-0.3348058462216496
CD40,1.0871347262351734
CD40LG,0.10330140345794825
CD44,2.784759564317728
CD59,1.4877660297292838
CD74,2.153267452206079
CD82,0.89098716317362
CD83,0.811585295332156
CD8A,0.6899018165616153
CDC25A,0.978043382656629
CDC25C,0.8860458260358453
CDC34,0.9881621022112854
CDC6,0.9732415137349242
CDH1,0.43544288118259006
CDH11,1.052851659749308
CDH19,1.092747880580804
CDH2,0.4277168264190969
CDH3,0.1509834264201458
CDH4,1.3622645084721146
CDK1,0.5814162542493577
CDK20,0.5475308802266032
CDK4,0.9670799544916623
CDK5R1,0.6805126713867238
CDK6,0.8150447107486783
CDKN1A,0.9245701472869102
CDKN1B,1.0191235694041705
CDKN1C,1.2469611002447853
CDKN2B,-0.3493618171657106
CDON,0.796705354559425
CDX2,0.214184814905511
CEACAM1,0.8388293944317027
CEBPA,-0.07339102818580095
CELF2,0.739351228422237
CELSR1,1.4318485998129793
CETP,0.665647041669962
CFLAR,0.6512200504601111
CFTR,-0.04792971686214069
CGA,0.06600706304592881
CGN,0.648323228397512
CHEK1,1.0373488862331166
CHEK2,0.7760478299647935
CHGA,-0.02923359107293428
CHML,2.1156079721695042
CHPF,0.7891155441881514
CHRDL1,1.0605609145022794
CHST11,0.894496910831267
CHST2,0.6008603211253772
CHST4,0.35632458532217337
CIITA,0.7696924315342886
CITED2,0.8563600236218485
CLDN1,0.5428855770911437
CLDN2,0.7303316451166978
CLDN4,0.8315315405495082
CLEC4C,0.11896762556341224
CLIC5,0.9771292151366898
CLK3,0.6791098481856339
CLU,1.162249148937768
CNTN1,0.7197651768386613
CNTNAP2,-0.07791761495595421
COL11A2,0.8123832614127693
COL12A1,1.7083818984939811
COL17A1,1.0809513849628694
COL1A1,0.5118114944893719
COL1A2,0.2038973471208116
COL27A1,1.1565906587253099
COL3A1,1.0975111272734615
COL4A3,0.8187547264625432
COL4A4,1.0354808642132896
COL4A5,1.3577532229735954
COL4A6,1.1768827221043041
COL5A1,1.5150029328409433
COL6A2,0.9799808727730958
COL6A3,1.4943910504816036
COL8A1,1.2299707277775593
CPT1B,0.4730917909083704
CRABP2,0.8334940280249064
CRADD,1.0233016329058964
CRB3,0.36913801621970704
CREB3L1,2.0653032087094068
CREM,0.8704731163775731
CRH,-0.1233877112159744
CRY1,0.9268310322001921
CRY2,0.7425673663918342
CSF1,1.141983656980087
CSF3,1.1513234301124147
CSPG4,1.4689935950413078
CTGF,0.9001198282549627
CTNNB1,1.0776983498291572
CTSC,0.915397591044762
CTSL,0.969838069588139
CTSS,0.5049571495727111
CXADR,0.13523775527097168
CXCL1,0.3815193767124595
CXCL12,0.353368165107809
CXCL16,0.298511336220839
CXCL8,-0.5166286399620461
CXCR4,0.7417856373290771
CYB561,1.015292425947967
CYBB,0.21667794950135058
CYFIP2,0.532631573770405
CYLD,0.5338652650907832
CYP11A1,0.5549114687072981
CYP17A1,-0.23739393327598263
CYP19A1,0.08235486639498643
CYP1A1,0.11959542198640238
CYP27B1,-0.08513534704949949
CYP2B6,0.08164982037462849
CYP2C18,0.31036751258373824
CYP2E1,0.5775375452607738
CYP7A1,-0.12603378149684052
CYP7B1,-0.1791166647929852
DAAM1,0.8062784436450402
DAB2,1.0454155493653208
DAB2IP,1.7473440572379006
DACH1,0.6003640229231954
DAG1,2.7527251381364874
DCDC2,-0.24258385279538933
DCN,-0.3257299891165166
DDAH1,1.1048866603715666
DDIT3,0.5648200091276943
DENND1B,0.747816623202497
DENND2A,0.43923246031736923
DES,-0.5575060872600036
DKK1,1.247359189130108
DMBT1,1.888095941520851
DMD,1.606777763176613
DNAJC6,1.389006843430972
DNM1,-1.0276129051546024
DOCK2,0.6479419128252543
DPF3,0.5751176468112361
DPYSL2,2.1156987632056388
DPYSL3,1.498733872119257
DR1,0.6250369035850385
DSCAM,0.3611008907116834
DSG2,0.9416872979212095
DSG4,-0.2639376789223625
DYSF,1.4414996203811186
E2F1,0.663147505165138
EAPP,0.8003413902922488
EBNA1BP2,1.1381431653291496
ECM1,1.08258586826672
EDN1,1.3810030182600712
EDN2,0.4969111852292763
EDNRB,0.9722686856236122
EEF1A2,0.7240341774341599
EFEMP1,0.92453761456097
EFNA1,0.8697046314934291
EGFL7,0.7467557657906814
EGFR,1.1712577078642898
EGR1,0.7672154978010912
EHF,1.1659891909792157
ELANE,0.2639376789223625
ELK1,0.5906178693852614
ENAH,1.4278433194130307
ENTPD3,0.9308410279543062
EP300,0.9723777677705897
EPB41L1,1.527303102666803
EPCAM,0.4860049277376733
EPHA10,0.6521083470332186
EPHA5,1.036786347223616
EPHB2,1.2711390536047247
EPHX1,0.9963111229079892
EPN3,0.2773452702297646
EPO,-0.2938489303781136
EPOR,1.084091741574479
ERBB2,0.6888015416008533
ERBB3,2.410420295133434
ERBB4,2.3178631723961862
EREG,1.1698133013281031
ERG,0.21813943601219632
ERO1A,0.12383490030941499
ERP44,0.6922670500498306
