Node,Steady State (No perturb),Steady State (Perturbed (GATA3),SFA_fold_change
B3GNT3,1.1806125341199083,0.5903062670599541,-0.5903062670599541
B3GNT7,1.0117526416953055,0.5058763208476528,-0.5058763208476528
B4GALT4,1.328382073124928,0.664191036562464,-0.664191036562464
BABAM2,-0.1704278075130002,-0.1915391382719131,-0.02111133075891289
BAD,1.7831969289438867,1.0431659101886583,-0.7400310187552284
BAK1,2.291495937636456,1.6183343256826053,-0.6731616119538506
BAMBI,1.5417920512080283,0.9772785368867132,-0.5645135143213151
BATF3,1.300369286917494,0.9543994674796056,-0.3459698194378885
BAX,1.7104746716040555,0.9099962719726308,-0.8004783996314248
BCAR1,1.8303806007691044,0.9570453372061803,-0.873335263562924
BCHE,0.7301096084889256,0.5323970304464634,-0.19771257804246223
BCL11A,0.8457912836571106,0.591013234026355,-0.2547780496307557
